City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Staroutkinsk,RU,2021-04-04 04:04:27,57.2302,59.3348,33.73,93,100,4.18
171,Yellowknife,CA,2021-04-04 04:00:18,62.456,-114.3525,10.4,56,75,6.91
172,Saint-Francois,FR,2021-04-04 04:04:27,46.4154,3.9054,36.0,73,1,4.09
173,Beloha,MG,2021-04-04 04:04:27,-25.1667,45.05,71.47,84,64,4.05
174,Waldoboro,US,2021-04-04 04:04:28,44.0954,-69.3756,35.6,41,1,5.21
175,Staryy Nadym,RU,2021-04-04 04:04:28,65.6118,72.6842,31.15,98,100,7.78
176,Padang,ID,2021-04-04 04:01:03,-0.9492,100.3543,84.2,65,75,1.14
177,Forest Grove,US,2021-04-04 04:04:28,45.5198,-123.1107,57.0,62,75,9.22
178,Big Bend,SZ,2021-04-04 04:04:29,-26.8167,31.9333,61.21,90,41,2.95
179,Fare,PF,2021-04-04 04:04:29,-16.7,-151.0167,82.49,71,9,6.62
180,Tanout,NE,2021-04-04 04:04:29,14.9709,8.8879,66.74,15,0,10.71
181,Kysyl-Syr,RU,2021-04-04 04:04:30,63.8986,122.7617,4.44,79,98,3.67
182,Torbay,CA,2021-04-04 04:03:18,47.6666,-52.7314,37.0,100,90,11.5
183,Ponta Do Sol,PT,2021-04-04 04:04:30,32.6667,-17.1,57.99,68,59,1.99
184,Amahai,ID,2021-04-04 04:04:30,-3.3333,128.9167,89.2,60,36,6.71
185,Grants,US,2021-04-04 04:04:31,35.1473,-107.8514,50.0,34,90,3.44
186,Pontes E Lacerda,BR,2021-04-04 04:03:44,-15.2261,-59.3353,73.06,92,99,1.32
187,Asilah,MA,2021-04-04 04:04:31,35.465,-6.0348,55.4,76,40,2.3
188,Caravelas,BR,2021-04-04 04:04:31,-17.7125,-39.2481,75.83,83,100,4.09
189,Plaster Rock,CA,2021-04-04 04:04:31,46.9065,-67.39,26.6,68,1,6.91
190,Chase,CA,2021-04-04 04:04:32,50.8165,-119.6857,44.6,70,100,3.44
191,Nyurba,RU,2021-04-04 04:04:32,63.2842,118.3319,3.88,79,100,4.25
192,Carthage,TN,2021-04-04 04:04:33,36.8611,10.3316,59.0,77,20,5.75
193,Iwaki,JP,2021-04-04 04:02:56,37.05,140.8833,72.0,68,88,3.0
194,Yarada,IN,2021-04-04 04:04:33,17.65,83.2667,84.76,71,31,5.48
195,Guerrero Negro,MX,2021-04-04 03:59:57,27.9769,-114.0611,60.33,83,0,13.65
196,Ondo,NG,2021-04-04 04:04:33,7.1,4.8333,73.47,99,66,1.39
197,Soma,TR,2021-04-04 04:04:34,39.1855,27.6094,55.4,67,40,4.03
198,Vestmannaeyjar,IS,2021-04-04 04:04:34,63.4427,-20.2734,33.08,66,19,29.89
199,Hammelburg,DE,2021-04-04 04:04:34,50.1167,9.9,32.0,84,16,1.01
200,Surt,LY,2021-04-04 04:04:34,31.2089,16.5887,69.69,28,5,15.73
201,Vanavara,RU,2021-04-04 04:04:35,60.34,102.2797,26.64,85,100,8.72
202,Glace Bay,CA,2021-04-04 04:04:35,46.1969,-59.957,36.0,100,90,8.05
203,Narsaq,GL,2021-04-04 04:04:35,60.9167,-46.05,37.4,87,90,4.61
204,Toora-Khem,RU,2021-04-04 04:04:36,52.4675,96.11,38.32,62,71,2.51
205,College,US,2021-04-04 04:04:36,64.8569,-147.8028,28.99,86,90,3.44
206,Santa Rosa,PH,2021-04-04 04:04:36,14.3122,121.1114,90.0,58,75,5.75
207,Manitouwadge,CA,2021-04-04 04:04:37,49.1215,-85.8403,31.21,97,92,2.46
208,Ilinskiy,RU,2021-04-04 04:04:37,55.619,38.1182,36.0,93,22,2.24
209,Goya,AR,2021-04-04 04:01:44,-29.14,-59.2626,65.59,77,92,4.34
210,Loukhi,RU,2021-04-04 04:04:37,66.0764,33.0381,27.99,88,100,9.15
211,Rocha,UY,2021-04-04 04:04:38,-34.4833,-54.3333,59.77,94,0,3.78
212,Banjar,ID,2021-04-04 04:04:38,-8.19,114.9675,84.2,74,20,5.75
213,Elat,IL,2021-04-04 04:00:40,29.5581,34.9482,55.4,44,0,11.5
214,Elverum,NO,2021-04-04 04:04:38,60.8819,11.5623,28.0,92,64,2.01
215,Uray,RU,2021-04-04 04:04:39,60.1247,64.7758,33.84,87,100,9.51
216,Qasigiannguit,GL,2021-04-04 04:04:39,68.8193,-51.1922,-0.4,60,33,8.05
217,Port-Cartier,CA,2021-04-04 04:04:39,50.0334,-66.8654,23.0,79,75,3.44
218,Port Angeles,US,2021-04-04 04:04:40,48.1181,-123.4307,46.4,81,90,20.71
219,Tevriz,RU,2021-04-04 04:04:40,57.509,72.4042,34.27,79,100,8.72
220,Wufeng,CN,2021-04-04 04:04:40,27.45,104.8333,48.88,78,100,4.72
221,Teeli,RU,2021-04-04 04:04:41,51.0333,90.2333,39.81,21,6,2.46
222,Muravlenko,RU,2021-04-04 04:04:41,63.7898,74.523,32.83,99,100,14.36
223,Owando,CG,2021-04-04 04:04:41,-0.4819,15.8999,69.24,91,99,0.4
224,Baringo,KE,2021-04-04 04:04:41,0.4667,35.9667,71.29,70,73,4.32
225,Arlit,NE,2021-04-04 04:04:42,18.7369,7.3853,70.36,11,0,8.7
226,Saint-Pierre,RE,2021-04-04 04:04:42,-21.3393,55.4781,80.6,61,0,5.75
227,Rolla,US,2021-04-04 04:04:42,37.9514,-91.7713,57.2,54,1,10.36
228,Flin Flon,CA,2021-04-04 04:04:43,54.7682,-101.865,27.41,95,15,3.49
229,Khatanga,RU,2021-04-04 04:04:43,71.9667,102.5,-1.05,78,8,7.58
230,Mahajanga,MG,2021-04-04 04:04:44,-15.7167,46.3167,75.2,94,20,3.44
231,Grand Gaube,MU,2021-04-04 04:04:44,-20.0064,57.6608,82.99,75,13,8.01
232,Atbasar,KZ,2021-04-04 04:04:44,51.8,68.3333,34.32,90,100,11.07
233,Kavieng,PG,2021-04-04 04:04:44,-2.5744,150.7967,83.62,72,100,6.02
234,Terenos,BR,2021-04-04 04:04:45,-20.4422,-54.8603,77.0,53,0,10.36
235,Labuan,MY,2021-04-04 04:04:45,5.2767,115.2417,87.8,74,20,3.44
236,Tambo Grande,PE,2021-04-04 04:04:45,-4.9269,-80.3447,77.59,69,93,2.35
237,Mehran,IR,2021-04-04 04:04:46,33.1222,46.1646,37.4,60,0,4.61
238,Lebu,CL,2021-04-04 04:04:46,-37.6167,-73.65,52.75,91,3,9.51
239,Brae,GB,2021-04-04 04:04:46,60.3964,-1.353,44.6,93,90,33.38
240,Honiara,SB,2021-04-04 04:04:46,-9.4333,159.95,85.14,78,94,5.12
241,Port Hardy,CA,2021-04-04 04:00:28,50.6996,-127.4199,41.0,81,40,3.44
242,Bengkulu,ID,2021-04-04 04:04:47,-3.8004,102.2655,82.56,70,92,18.37
243,Sao Felix Do Xingu,BR,2021-04-04 04:04:47,-6.6447,-51.995,74.07,90,99,1.32
244,Cidreira,BR,2021-04-04 04:04:48,-30.1811,-50.2056,71.67,78,56,16.17
245,Yulara,AU,2021-04-04 04:04:48,-25.2406,130.9889,87.8,19,0,10.36
246,Souillac,MU,2021-04-04 04:04:48,-20.5167,57.5167,78.8,89,40,6.91
247,Yumen,CN,2021-04-04 04:04:49,40.2833,97.2,46.51,39,100,18.72
248,Najran,SA,2021-04-04 04:04:49,17.4924,44.1277,66.2,26,36,13.8
249,Beringovskiy,RU,2021-04-04 04:04:49,63.05,179.3167,5.07,83,100,17.52
250,Auki,SB,2021-04-04 04:04:50,-8.7676,160.7034,87.78,60,58,2.73
251,Muncar,ID,2021-04-04 04:04:50,-8.4333,114.3333,85.44,72,88,5.1
252,Yar-Sale,RU,2021-04-04 04:04:50,66.8333,70.8333,23.14,97,100,2.77
