City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Vila Velha,BR,80.01,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
Santa Cruz Cabralia,BR,78.8,scattered clouds,-16.2781,-39.0247,Portobali Hotel
Digha,IN,78.26,clear sky,21.6833,87.55,Khoniker Atithi
Pemangkat,ID,76.95,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
Santiago Del Estero,AR,85.96,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
Roebourne,AU,80.87,clear sky,-20.7833,117.1333,Harding River Caravan Park
San Alberto,CO,84.38,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
Libertador General San Martin,AR,79.0,overcast clouds,-23.8064,-64.7876,Posada del Sol
Mogadishu,SO,81.66,few clouds,2.0371,45.3438,Olympic Hotel
Bambanglipuro,ID,76.68,heavy intensity rain,-7.95,110.2833,Puri Brata
Majene,ID,78.85,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
Pundaguitan,PH,80.87,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
Bubaque,GW,76.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
Buala,SB,81.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
Moron,AR,84.2,clear sky,-34.6534,-58.6198,Hotel Morón
Det Udom,TH,86.0,overcast clouds,14.905999999999999,105.0784,Chatsuda Resort
Aden,YE,80.6,clear sky,12.7794,45.0367,Sama Emirate Hotel
Indiaroba,BR,75.45,scattered clouds,-11.5192,-37.5117,Neide brito
Novo Aripuana,BR,77.86,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
Kudahuvadhoo,MV,83.66,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
Finschhafen,PG,79.65,light rain,-6.6024,147.8681,Cossam Guest House
Butaritari,KI,81.12,moderate rain,3.0707,172.7902,Isles Sunset Lodge
Touros,BR,82.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
Yako,BF,87.87,clear sky,12.9667,-2.2667,Hôtel BINGO
San Ignacio,BZ,84.2,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
Cayenne,GF,80.01,light rain,4.9333,-52.3333,Hôtel Le Dronmi
Santa Luzia,BR,78.8,scattered clouds,-19.7697,-43.8514,Pousada Chao Earth
Guantanamo,CU,86.0,broken clouds,20.1444,-75.2092,Hotel Guantánamo
Bairiki,KI,77.0,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
Saint George,US,84.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
Isangel,VU,78.17,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
Iracoubo,GF,78.17,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
Gwadar,PK,78.93,few clouds,25.1216,62.3254,Sadaf Resort
Zwedru,LR,75.33,light rain,6.0667,-8.1281,Elijah Worjloh
Manicore,BR,80.82,overcast clouds,-5.8092,-61.3003,Hotel Durval
Miracema Do Tocantins,BR,82.26,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
Poum,NC,78.35,overcast clouds,-20.2333,164.0167,Gîte kajeon
Cap Malheureux,MU,80.01,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
San Antero,CO,84.43,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
Lakatoro,VU,80.83,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
Fort Wellington,GY,78.37,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
Voh,NC,75.07,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
Kalmunai,LK,77.94,scattered clouds,7.4167,81.8167,VS Villa
Na Wa,TH,75.09,clear sky,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
Jizan,SA,84.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
Impfondo,CG,75.52,light rain,1.6381,18.0667,Préfecture de la Likouala
Santa Maria,BR,80.6,light rain,-29.6842,-53.8069,Hotel Morotin
Biltine,TD,85.03,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
